name,state,price,currency,text,category,subcategory
Garmin Drive 50 Auto navigacija,Korišćeno,8500,din,"Prodajem Garmin Drive 50 auto navigaciju poslednje generacije. Navigacija je sa ubacenim mapama Evrope  i kompletna je sa auto punjacem, nosacem i drzacem.",Automobili | Oprema,Navigacije
Black Guard Crni Novcanik sa drzacem za kartice,Korišćeno,1800,din,"Prodajem Black Guard crni novcanik sa posebnim mestom za drzanje kartica, vidi se na slikama.","Torbe, novčanici i asesoari",Novčanici | Muški
Gemalto Citac Biometrijskih dokumenata,Korišćeno,1200,din,"Prodajem Gemalto citac biometrijskih dokumenata, potpuno ispravan i odlicno ocuvan.",Kompjuteri | Desktop,Elektronski čitači
Carolina Herrera VHE634 Designer Glasses,Korišćeno,8500,din,Prodajem perfektno ocuvane dizajnerski okvir za zenske naocare Carolina Herrera.,"Nakit, satovi i dragocenosti",Naočare | Dioptrijski okviri
Casio FX-602P Programmable Scientific Calculator,Korišćeno,14000,din,Prodajem ispravan Programabilni scientific kalkulator. Kalkulator je u odlicnom stanju.,Školski pribor i udžbenici,Školski pribor
Muski Crni novcanik,Kao novo - nekorišćeno,1800,din,"Prodajem je nov i nekoriscen muski novcanik crne boje.
Novcanik se isporucuje u originalnoj ambalazi.","Torbe, novčanici i asesoari",Novčanici | Muški
Siemens RK 702 Radio Prijemnik - Tranzistor,Korišćeno,2200,din,Prodajem radio prijemnik Siemens RK 702 potpuno ispravan i solidno ocuvan sa sitnim znacima koriscenja.,Audio,Radio prijemnici
Eschenbach 10X 38D 40 LED Illuminated Magnifier,Korišćeno,6000,din,Eschenbach 10Ks 38D 40 LED osvetljena lupa. Eschenbach 10X ispravna i odlicno ocuvana.,"Nakit, satovi i dragocenosti",Naočare | Dioptrijski okviri
Fuji Finepix Real 3D W3,Korišćeno,200.0,€,"Fuji Finepix Real 3D model W3 digitalni fotoaparat, potpuno ispravan i perfektno ocuvan.",Foto,Digitalni fotoaparati | Kompakt
Kruzna testera 80 zuba 50 mm fi,Korišćeno,1000,din,Kruzna testera za mini cirkulare 80 zuba fi 50 mm,Alati i oruđa,Električne testere i cirkulari
Lula Stara Rucno slikana,nepoznato,6500,din,Stara lula rucno oslikana u kombinaciji sa drvetom i keramikom.,Kolekcionarstvo,Suveniri
Strujna uticnica sa daljinskim upravljacem,Korišćeno,1200,din,"Prodajem strujnu uticnicu sa daljinskim upravljacem, potpuno ispravnu i solidno ocuvanu.",Elektronika i komponente,Utičnice i utikači
Philips daljinski za TV i DVD,Korišćeno,1200,din,Philips daljinski za TV i DVD potpuno ispravan i ocuvan.,TV i Video,Daljinski upravljači
Logitech M345 Fire Red Wireless miš,Korišćeno,1500,din,"Logitech M345 Fire Red wireless mis, potpuno ispravan i solidno ocuvan sa sitnim tragovima koriscenja. Mis se prodaje bez unifying receivera.",Kompjuteri | Desktop,Miševi
Logitech M170 Crni Mis sa receiverom,Korišćeno,1200,din,Logitech M170 mis sa nano receiverom ispravan i savrseno ocuvan.,Kompjuteri | Desktop,Miševi
Sony SA-CT80 Sound Bar sa Bluetoothom,Kao novo - nekorišćeno,5500,din,"Sony Sound bar sa bluetoothom, potpuno ispravan i perfektno ocuvan, nedostaje woofer ali moze i ovako lepo da svira, bolje od Tv zvunika sigurno. Ima opticki ulaz, sa strane USB i ulaz za slusalice.",Audio,Zvučnici
Sennheiser HD25 Sp II 60 Ohm,Korišćeno,11000,din,"Slušalice fantastičnog zvuka za DJ-eve i, pre svega, za zvučne tehničare, jer su gotovo nepoderive, pakleno glasne, čak i u najglasnijim klubovima. Po mom mišljenju jedna od najboljih DJ slušalica. Stanje slusalica se može opisati kao veoma dobro. Potpuno funkcionalne.",Muzika i instrumenti,DJ oprema
Jabra Evolve 40 HSC017 Headset with quality Microphone,Korišćeno,4300,din,"Jabra Evolve 40 kvalitetne slusalice sa mikrofonom, potpuno ispravne i funkcionalne i odlicno ocuvane.",Kompjuteri | Desktop,Slušalice i mikrofoni
Panasonic SJ-MJ70 Portable Mini Disc Player,Korišćeno,2500,din,"Panasonic mini Disc player, potpuno ispravan i solidno ocuvan sa sitnim tragovima koriscenja, Md ima plasticni nastavak za AAA bateriju tako da nema potrebe za posebnom baterijom.",Audio,Vokmeni i diskmeni
Uvex Crow Pro Biciklisticke Naocare za Profesionalce,Korišćeno,4500,din,"Prodajem perfektno ocuvane biciklisticke naocare Uvex Crow Pro. Isporucuju se u svojoj originalnoj
torbici.",Bicikli | Delovi i oprema,Kacige i naočare
La Cimbali Frigo Milk Frizider za mleko,Korišćeno,8500,din,"Prodajem La Cimbali Frigo Milk Frizider za mleko, potpuno ispravan i ocuvan sa sitnim tragovima koriscenja.",Bela tehnika i kućni aparati,Aparati za kafu
Garmin Nuvi 2545 Auto Navigacija,Korišćeno,5200,din,"Prodajem ispravnu i ocuvanu auto navigaciju Garmin Nuvi 2545, sa mapama Evrope 2020.
Navigacije se prodaje sa kompletnom opremom auto punjac drzac i nosac.",Automobili | Oprema,Navigacije
Garmin Nuvi 1450 Auto Navigacija,Korišćeno,4500,din,"Prodajem ispravnu i testiranu auto navigaciju Garmin nuvi 1450, sa mapama Evrope 2020,
Navigacija se prodaje sa kompletnom opremom auto punjac, nosac i drzac.",Automobili | Oprema,Navigacije
Garmin Nuvi 1490 Auto Navigacija,Korišćeno,4200,din,"Prodajem ispravnu i ocuvanu auto navigaciju Garmin nuvi 1490, sa mapama evrope 2020,
ide sa kompletnom opremom, auto punjac, drzac i nosac.",Automobili | Oprema,Navigacije
Garmin Nuvi 66 Auto Navigacija,Korišćeno,6200,din,"Prodajem je Ispravnu i ocuvanu auto navigaciju Garmin Nuvi 66 sa mapama evrope 2020.
Uz navigaciju ide auto punjac, drzac i nosac za staklo.",Automobili | Oprema,Navigacije
No Rules Helmet Screwit za SkateBoard ili Bicikl,Korišćeno,1800,din,"Prodajem Comic No Rules Kacigu za SkateBoard, Rolere ili Bicikl.
Odlicno ocuvana u svojoj originalnoj kutiji, nije puno koriscena.",Sport i razonoda,Skateboarding
Eschenbach Vario H 6/100 Lupa sa Svetlom,Korišćeno,4000,din,"Eschenbach Vario H 6/100 Lupa sa Svetlom, potpuno ispravna i odlicno ocuvana sa svojim originalnim strujnim adapterom.","Nakit, satovi i dragocenosti",Naočare | Dioptrijski okviri
Bose 329679 Bluetooth Headphone USB Strujni adapter,Korišćeno,1200,din,Prodajem ispravan i testiran Bose Bluetooth Headphone strujni adapter 5V.,Audio,Delovi i oprema
Bose SoundDock XT Speaker Strujni Adapter,Korišćeno,1500,din,Prodajem ispravan i testiran strujni adapter za Bose Sound Dock XT.,Audio,Delovi i oprema
Digitalna Vaga i Metar za merenje kofera,Korišćeno,1200,din,"Potpuno ispravna i odlicno ocuvana vaga i metar za merenje duzine, visine kao i tezine kofera.","Torbe, novčanici i asesoari",Koferi
Jabra Supreme Bluetooth Susalica,Korišćeno,8500,din,"Jabra Supreme Bluetooth Slusalica, potpuno ispravna i funkcionalna, perfektno ocuvana.

Jabra Supreme Bluetooth slušalica pruža superiorni kvalitet zvuka uz odličnu izolaciju od spoljne buke zahvaljujući Active Noise cancellation, Noise Blackout™ i HD Voice tehnologijama i vrhunsku udobnost uz meki jastučić.
Ova slušalica poseduje i glasovnu kontrolu za pozivanje bez kontakta sa telefonom, kao i mogućnost uparivanja sa dva Bluetooth uređaja.",Mobilni tel. | Oprema i delovi,Slušalice za mobilne telefone
Fossil Men's Norton Id Bifold Money Clip Wallet,Korišćeno,1500,din,"Prodajem Fosil muski novcanik za kartice i ID funkcijom.
Novcanik ima metalnu kopcu i solidno je ocuvan.
100% Leather
Imported
Cotton lining
No Closure closure
Hand Wash
4"" high
3"" wide
Interior details: 6 credit card slots, 2 slip pockets","Torbe, novčanici i asesoari",Novčanici | Muški
Abus Galaxys Decja Kaciga M/L 53-58cm,Korišćeno,1200,din,"Abus Galxys Decja kaciga M/L za obim glave 53-58 cm, odlicno ocuvana, Idealna za bicikl, rolere ili Skejt.",Bicikli | Delovi i oprema,Kacige i naočare
Apple 45W Magsafe Power Adapter for Macbook Air,Korišćeno,5500,din,"Prodajem Apple Magsafe 2 Strujni Adapter 14,85 Volti 3.05 Ampera Konektor je sa 5 pina
za Macbook Air Lap topove. Adapter je potpuno ispravan i testiran. Model je A1436
Radna Garancija 30 dana",Kompjuteri | Laptop i tablet,Laptopovi | Apple oprema i delovi
Raymond Weil Kutija od sata sa Spoljnim kartonom Vintage,Korišćeno,3600,din,Raymond Weil Originalna kutija od sata sa spoljnom kutijom od kartona.,"Nakit, satovi i dragocenosti",Ručni satovi | Brendovi muški
Eschenbach System Vario H Lupa sa svetlom,Korišćeno,3600,din,Prodajem Eschenbach Lupu za citanje sa svetlom u stanju kao na slikama i sa svojim originalnim strujnim adapterom.,"Nakit, satovi i dragocenosti",Naočare | Dioptrijski okviri
Razer Orochi 2013 laserski gejmerski miš 6400dpi crni,Korišćeno,3600,din,"Prodajem ispravan i ocuvan Gamerski bluetooth mis Razer Orochi 2013.
Mis je zicno bezicni, moze da radi kao bluetooth ili da se poveze sa micro usb kablom.

Žični/bežični laserski RAZER Orochi 2013 RZ01-00820100-R3G1 USB 6400 DPI Gejmerski u crnoj boji, namenjen i levorukim i desnorukim korisnicima, napajanje pomoću 2x AA baterija, trajanje baterija 30 sati kod neprekidnog igranja, indikator stanja baterije, on/off prekidač za napajanje.   Tip miša žični/bežični laserski miš, gejmerski Rezolucija praćenja 6400 DPI (tačaka po inču, jedan inč je 2.54 centimetra) Konekcija USB, Bluetooth 3.0 bežično povezivanje Broj tastera 7 tastera, LED osvetljenje na skrol tasteru Skrolovanje vertikalno Kompatibilnost Windows 8, 7, Vista, Mac OS X (v10.7 – 10.9) Procesiranje - Ubrzanje - Brzina - Tehnologije Razer Synapse 2.0, 4G laser senzor Funkcionalnosti namenjen i levorukim i desnorukim korisnicima, napajanje pomoću 2x AA baterija, trajanje baterija 30 sati kod neprekidnog igranja, indikator stanja baterije, on/off prekidač za napajanje",Kompjuteri | Desktop,Miševi
"Sony XDR-C1DBP DAB+, FM Radio kontrolisani sat sa Alarmom",Korišćeno,6500,din,"Sony XDR-C1DBP Radio kontrolisani sat sa DAB+, FM radijom i sa usb funkcijom punjenja mobilnih i drugih uredjaja. Sat je potpuno ispravan i funkcionalan, solidno ocuvan.",Audio,Radio prijemnici
Deuter Aircomfort 40 Ranac za planinarenje,Korišćeno,1800,din,"Prodajem Deuter Aircomfort 40 ranac za planinarenje, solidno ocuvan i potpuno ispravan i funkcionalan.",Sport i razonoda,Planinarenje
